date,region,district,market,commodity,unit,pricetype,TSh,USD
2008-02-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,35600.0,31.7149
2008-02-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,70300.0,62.6281
2008-02-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,87100.0,77.5947
2008-03-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,29600.0,24.5846
2008-03-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,84000.0,69.7672
2008-03-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,98900.0,82.1425
2008-04-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,31400.0,25.9504
2008-04-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,82500.0,68.1818
2008-04-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,86700.0,71.6529
2008-05-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,29500.0,24.9366
2008-05-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,82700.0,69.907
2008-05-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,76700.0,64.8352
2008-06-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,33500.0,28.1741
2008-06-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,86577.0,72.8128
2008-06-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,84800.0,71.3183
2008-07-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,30545.45,27.0314
2008-07-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,92863.64,82.1802
2008-07-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,86818.18,76.8302
2008-08-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,30000.0,25.7645
2008-08-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,105000.0,90.1756
2008-08-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,87500.0,75.1464
2008-09-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,30000.0,26.7165
2008-09-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,97500.0,86.8287
2008-09-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,87500.0,77.9232
2008-10-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,25000.0,20.7952
2008-10-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,99000.0,82.349
2008-10-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,89000.0,74.0309
2008-11-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,34091.0,26.8628
2008-11-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,110455.0,87.0355
2008-11-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,93864.0,73.9622
2008-12-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,39000.0,30.9327
2008-12-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,110000.0,87.2462
